Number,Content,Trinary,Source
9350,Finally at home. Who decides it's time for more work at 17:10 on the Friday of a long weekend... apparently my client.,0,Twitter
9351,Just got home from work.. My feet are killing me,-1,Twitter
9352,in less then a min i lost 2 followers,0,Twitter
9353,@reemerband Hiyaa! How was Tour? Really disappointed that I couldn't make it   Hope your all Dandy,-1,Twitter
9354,"addin to that last comment, was spose to be going to see the jonas brothers 3D movie, but guess what i couldnt go aswell cos im sick",-1,Twitter
9355,right anyone know what episode of Bones is showing on sky2 tonight at 9pm - programme synopsis is not available on my box,0,Twitter
9356,At work and really slow for a beautiful day and a Friday.,1,Twitter
9357,@LOVEHATE_ENVY how come you dont think you did good?!,1,Twitter
9358,@aminakader my thoughts exactly,0,Twitter
9359,@apt10C I was walking home when he fell to the ground,0,Twitter
9360,Bugger. forgot I still have washing in my machine,0,Twitter
9361,Last time in the drama room,0,Twitter
9362,@AndySquirrel now if I still lived that way you could pop in and see me  but I don't so you can't,0,Twitter
9363,"@KatieKilljoy I wanna play with you tonight  *pout, pout side face*",-1,Twitter
9364,It's gonna be a super long day,1,Twitter
9365,jus sittin in da libray and this stupid computer wont let me order any mac foundation,-1,Twitter
9366,@SpinachPuffs yeeeeah . . . and it was in into too  seen Empire top 100 computer games? http://www.empireonline.com/100greatestgames/,1,Twitter
9367,Swolen as shitt  boo hoo,-1,Twitter
9368,Jon &amp,0,Twitter
9369,@sheenstar dont get too excited bby i hear thunder rolling in,1,Twitter
9370,@petshoptype yes and no. there's some strange infection in my body that's causing me to be sicker than I need and to have a fever.,-1,Twitter
9371,@Timkealey  was wong?,0,Twitter
9372,Nothing like getting to work and finding out you have to cover extra shifts this week... looks like another 40 hr work week.,1,Twitter
9373,doesn't wanna get dressed up and be an adult today.,0,Twitter
9374,"half of me wants to go to sleep, half of me dosen't. shoot. my other half is  dying of sleepiness",-1,Twitter
9375,@DavidArchie Haha same!!! But its gonna be awhile til it comes to sweden i think...,1,Twitter
9376,"@TheAllianceGuy thankies! btw, what part of scotland do you live in? I never got to visit the UK at all when I lived in Europe",1,Twitter
9377,@Reavel i would be doing the same thing pero la lavadora se daï¿½o,0,Twitter
9378,"@teamqivana We're no longer in biz together. The one thing that survived was our marriage. Not so good with the in-laws, though.",1,Twitter
9379,trying to find some friends and not having any luck,1,Twitter
9380,Feelin a little blue tonight.. Love might be good,1,Twitter
9381,@giordanobc I know how you feel.  Takes far too much time out of my life!,1,Twitter
9382,"@davidlem Re: meetings, you were right.  My afternoon has started to fill up",0,Twitter
9383,i want some followers,0,Twitter
9384,Ah! Haha Omg  we have no more fudge grahmcracker cookies! Boo,1,Twitter
9385,@SpinachPuffs yeeeeah . . . and it was in intro too  seen Empire top 100 computer games? http://www.empireonline.com...,1,Twitter
9386,"Not to thrilled about the marathon this sunday, they assigned me on the street. Less $$$",1,Twitter
9387,"want my new lappytop now, but the site says it won't be here till 6/9",0,Twitter
9388,@margjoc haha i am aware of how one contracts a UTI.  and i have training for work at 8:45 tomorrow morning so i have to go to bed early,1,Twitter
9389,@DeJonGrant I accidentaly slammed my finger in the trunk,-1,Twitter
9390,http://twitpic.com/672s3 - What I woke up to this morning...I didn't want to leave bed.,0,Twitter
9391,@BusyElleBee That ur anti is what I understood from the message. Sorry left off ur don't vote BNP msg at end due 2 space,-1,Twitter
9392,getting ready to drop off something to my man so he can hang out with a friend instead of me,-1,Twitter
9393,My dad's telling me to travel alone from now on. Not that I have a problem with that. I've done it before and it's boring!,-1,Twitter
9394,@marketeson damn you and your hot weather - it's freezing in Oz at the moment  I miss summer..,-1,Twitter
9395,"Dislocating your thumb= more painful than dislocating your toe. I was reminded of this today (thankfully, by my toe). Still feels weird",-1,Twitter
9396,"Damn it, the guys aren't at #comet09  I hope they win though",1,Twitter
9397,"so glad it is friday  two classes, then lazy afternoon. too bad it isnt nice and warm out today",-1,Twitter
9398,@devon_leigh u know wut devy dev it sure does suck havin no ID!! My weekends r gone miserable for 3 weeks so drink 4 me plz!!,-1,Twitter
9399,I should be in NYC right now with some of my favorite people but instead I am stuck in RI.,1,Twitter
9400,"@Genevieve Hey, I didn't get any !!!",1,Twitter
9401,"@KimmelCenter if I could make it to Philadelphia this year I would be there!! but sadly, i cannot",-1,Twitter
9402,@Klzm31sT me too.,0,Twitter
9403,Wow it's definitely Friday- the gym is completely empty! What to do? I'd like to play the wii but I guess I'll vacuum,1,Twitter
9404,trying to find some friends and not having any luck,1,Twitter
9405,Heading to yale.. Grandmother in car accident,-1,Twitter
9406,Two more loads and the moving crew's done! Started at 7am and i'm done for the day! Too bad the ac doesn't work in my new place  oh life!,-1,Twitter
9407,comes home in two days,0,Twitter
9408,broken my leg  comment me please,-1,Twitter
9409,@anberlin Welcome to Seattle! I really wish I could see you guys tonight.,1,Twitter
9410,"Enjoying sunshine in the park with friends, pale shirtless footballers are not attractive I'm afraid",-1,Twitter
9411,@alyseegs nope. Gone.,0,Twitter
9412,oops i did it again...really shouldnt have.,0,Twitter
9413,@RyanSchartz gah! no money..... at least not for bakugan,1,Twitter
9414,macbook dying. switching to iphone.,-1,Twitter
9415,@hatcherdogg Would love it but have plans,1,Twitter
9416,I want noms,0,Twitter
9417,"Hmmm, I just realized....I didn't have any bday cake for my birthday...boo hoo!",1,Twitter
9418,@grossnoises i miss yoooouuuu!!!!,1,Twitter
9419,Watchin tyra bored like always  my stomach hurts,-1,Twitter
9420,working again today  but off tomorrow for dan's party! yay!,1,Twitter
9421,an ultimatum is an ultimatum no matter how you dress it up.  and that sucks.,-1,Twitter
9422,No... have to go on cruches next 2 weeks,0,Twitter
9423,Just noticed @ubertwiter didn't get the location right again!  Maybe a way to preview it before sending would be handy??,1,Twitter
9424,Allergies suck... My eyes r even mor red than they were b4.  I think I'll stay inside 2day,-1,Twitter
9425,@shecango9984 I knnnowwww I'm so upset!!! I was going to twitter u but my sis's apt is like a led box nosignal! Where was the cookout??!!,-1,Twitter
9426,Car shopping with kacy yay,1,Twitter
9427,Got 2 get ready 4 work  would rather be fishing!,1,Twitter
9428,In human anatomy bored out of my mindddd!  someone save me.,1,Twitter
9429,i'm pretty bored/tried. my mom is going to be home in an hour. @kassi911 is fixing to leave. aww...  she's going to texas for a month..,1,Twitter
9430,So many tests todayyy  I don't feel confident about anyy.,1,Twitter
9431,No No No @ankita_gaba will take @Shadez away  Not my day! #shadez #twpp,1,Twitter
9432,wants to eat an entire chocolate cheesecake,0,Twitter
9433,Jon &amp,0,Twitter
9434,on break with @kellyaelliot . It's raining,0,Twitter
9435,"Work is MAD blocking sites! No fun  but they aren't blocking facebook, twitter &amp",-1,Twitter
9436,I just realized that im going home 2 weeks from today,0,Twitter
9437,@RobPattzNews DIE!  gosh.... i will die 'til movie awards,1,Twitter
9438,@matthewjsmall My sources say no,-1,Twitter
9439,@jjskidmore i was in front of u the other day i waved and u didnt  off to eddie izzard now!,1,Twitter
9440,@boulderdiaries I was afraid you were going to say that.,-1,Twitter
9441,"@lindentreephoto yeah, its super crap today   Stupid writing!  ugh",1,Twitter
9442,wants to go out and enjoy the weather but is tired and stuck in bed,1,Twitter
9443,Haha yea  if i knew yew wanted 2 go i would have told yew,1,Twitter
9444,@jy6 looking forward to your mandarin album.  Hope that you will come Singapore again,1,Twitter
9445,i want to see the next gossip girl episode!,1,Twitter
9446,transferring 368558682 photos is annoying.. I want to watch Up,-1,Twitter
9447,omg seated for seth lakeman but way too far back for my liking  x,1,Twitter
9448,@charchaos how come  its for us now to win ms twitter world.is it not working for you ?,0,Twitter
9449,"The Killers are coming to TD Banknorth in Boston on 9/4 at 7:30pm. And, I can't go.   Everyone else should go though! Tickets on sale Sat.",1,Twitter
9450,had to give my 5 year old golden retriever away to another family today  #sad http://bit.ly/s48D0,-1,Twitter
9451,@BrandiHoov we are coming...won't be there til around 9....can't stay though,0,Twitter
9452,"@TomGriffola Not a fan of the Bulmers, but the Magners pear is AWESOME, I want slush puppy though!  #Hurryup #classy #omgimpatient!",1,Twitter
9453,@MAKEUPMANMAE LMAO...Ha! No I just simply wanted to go to NY!,1,Twitter
9454,@iwan2ctheworld she passed away in April.  she was really sick with a genetic disease.,-1,Twitter
9455,"I'm such a saddo, haha. But that actually makes me really happy. Warrens dead though",-1,Twitter
9456,@tattoos1985 is it seven yet?,0,Twitter
9457,@EdwinIsRaDd why did you never buy bagels when i was tehre? i feel so unloved  haha,-1,Twitter
9458,@derekspringer  i for one welcome our new cyber-criminal-overlords.,-1,Twitter
9459,@anachronous I miss you,-1,Twitter
9460,"Ok. So I'm not moving, someone else took the apt I wanted  at least now I can work on organizing my stuff",0,Twitter
9461,Boring day today. Broke so I can't go and see my friend's band tonight  Maybe The Q tomorrow though.,-1,Twitter
9462,@jacobjunior7 it's still being retarded for me,-1,Twitter
9463,"he switches off his cellphone!! huaaaaa, i cant sleep  buzz me bebe..",1,Twitter
9464,wow i just woke up and read drews blog .. oh man im seriously crying right now,-1,Twitter
9465,@the5thletter i love dixie kitchen's peach wings and fried green tomatoes  i hope the one by river oaks stay open.,1,Twitter
9466,"really need to study, many books many updates  :~",0,Twitter
9467,I FEEL LIKE CRAP......,-1,Twitter
9468,looking for my littlest tsutsu...,0,Twitter
9469,disappointed! I forgot to tweet something really inappropriate @graphicphantom yelled in whole foods yesterday &amp,-1,Twitter
9470,@Littleradge I have a friend who loves that spot. I want to go,1,Twitter
9471,is wondering what I did to get on the &quot,0,Twitter
9472,is traumatized and saddened by the 2 baby squirells she just found on abandoned on the sidewalk.,-1,Twitter
9473,@cloudforest OMG that is AWFUL! $12k??? Wow     Our pyr figured out how to open a doorknobs one day by crushing them in her jaws and,-1,Twitter
9474,Bummer. MacBook is bugging out  Any Mac heads want to lend a helping hand.,0,Twitter
9475,Still hating the whole Twitter replies thing. I feel like I'm missing bits.  #fixreplies,-1,Twitter
9476,I quite like baseball and bball oh and the odd gridiron match that a tiny tiny part of the worlds population calls football,1,Twitter
9477,@karriedaway you look sooooo pretty love. dang I wish I was in NY so I could c u do ur thang,1,Twitter
9478,@TarQuianHesa Yeah they are! So stop making fun of me! I gotta get new ones,1,Twitter
9479,All my loved ones are leaving on Sunday..... sad,-1,Twitter
9480,@Tech_N9ne I'm not having a good day,1,Twitter
9481,@euripidean oh dear Whoops indeed,1,Twitter
9482,"@SEXYJENN_18 i emailed you the link, pretty sad uh?  RIP Jessie Kitty",-1,Twitter
9483,"Very happy that @pricy landed safely, I miss her already  http://myloc.me/205R",1,Twitter
9484,Filling out paperwork.,0,Twitter
9485,"@Agent_M that just gave me that sick-to-my-stomach feeling  ppl like that don't belong in regular society, ever!",1,Twitter
9486,I need to get away. I wish I had money to go travel for a bit. I miss my east coast friends.,-1,Twitter
9487,The first officially beautiful day of the year and I'm stuck inside the office    A Magners and BBQ will make up for it!,1,Twitter
9488,uploading PCD onto my iTunes xD i used to have it but certian events caused me to lt sadly,-1,Twitter
9489,@talulala really? and yeah it's too soon,0,Twitter
9490,"@GenuineAmy Dude, I miss the 90's.   btw, the name of my mix is &quot",-1,Twitter
9491,"the dog dug a hole in the backyard well iwas sleeping, now im grounded",0,Twitter
9492,"Urgh.... feeling like crap today. Bad headache, tired, blood sugars too high.",-1,Twitter
9493,"wishing i was there, so you should go in my place. #brandwkshop http://tr.im/mOXL i see they've got scott bedbury and more.. poor me",-1,Twitter
9494,my followers went from 22 to 20  i'd follow you back but i cant do anything till i get interwebnet! I want more followers. Im interesting!,1,Twitter
9495,"I work for a man that is so bad at his job that the whole team want to leave, and all believe we would make more money if he wasn't here",-1,Twitter
9496,just got rear ended,0,Twitter
9497,@ArcticMonkeysUK  i thought it was earlier,0,Twitter
9498,@danielfelice look like i can only quick post from the dashboard that is all,1,Twitter
9499,@AshDaPrincess chill its da rihanna bob. If it was 16 in I'd have no problem!!! Lol. R u at school all summer,-1,Twitter
9500,Why doesn't Rob tweet anymore?,0,Twitter
9501,Glad it's Friday... but bummed that I am officially working Saturdays.,1,Twitter
9502,Another Qi about to start....I'll be missing the next 4,0,Twitter
9503,Bout to get ready for work ugh i hate workin on fridays,-1,Twitter
9504,Jenn jenn jenn oh why oh why won't u pass on ur iTunes knowledge onto me?,0,Twitter
9505,@karliehustle i can almost imagine what the call taker must've felt like taking that call...especially if they have young ones at home.,1,Twitter
9506,@maryegilmore Ready! Its raining in Miami though  Go Cavs right?,1,Twitter
9507,@nick_carter can't see it it says &quot,0,Twitter
9508,So bored  waiting for class to start. Sigh midterms next week &gt,-1,Twitter
9509,"@SHARKSHOCKY Hi, California is cool! Here in Budapest/Hungary it's too cold and cloudy today  but usually it's hot in the summer)",1,Twitter
9510,Has that feeling like when you want to cry but you dont so you get that empty feeling in your stomach and your throat starts to hurt.,-1,Twitter
9511,Geometry is so Damn boring.  waste of time.. 20 more minutes left,-1,Twitter
9512,@citygirllife I'm so ready for the weekend. Did you see all the flash flood warnings for around here?,0,Twitter
9513,Friday is not treating me well so far.,0,Twitter
9514,in accounting class,0,Twitter
9515,daddy is in the hospital  i dont like it!,1,Twitter
9516,@gabbychiquito aww  ok well just let me know what she says hah &lt,0,Twitter
9517,this thing was more fun with my itouch,1,Twitter
9518,Sorting out Twitter issues....very frustrated that you can't talk to someone and they respond slowly to issues - capacity the challenges,-1,Twitter
9519,@tylercrex my power went out as well.. Except I'm in nor cal,0,Twitter
9520,@Huneychild ....back to a frizz head again,0,Twitter
9521,"@sfwa The article on language groups in spaceports looks really cool, but i can't open the site from that link.",1,Twitter
9522,Oh my god...my favorite havaianas just broke after three years or service  they will be missed. and they were molded perfectly to my feet,-1,Twitter
9523,gaahhhh! i want my #comet09 stream back...,1,Twitter
9524,fell on the sidewalk in harvard square.  stupid cobblestones!  now my hand hurts,-1,Twitter
9525,Lucy has an upset tummy and sore leg  http://apps.facebook.com/dogbook/profile/view/182397,-1,Twitter
9526,"As Simon/Idol might say, 21life sentences not good enough for Chester Stiles. How can one rape a 2 year old child?!  How the F?  Why?",-1,Twitter
9527,Internet stopped working right in the middle me quantum leap.  grr,0,Twitter
9528,Mummy and Nathan not in today! On My Todd!,1,Twitter
9529,@rinaswag I think she'll probably have the baby before I get there unfortunately,-1,Twitter
9530,i miss &quot,-1,Twitter
9531,"@brieasaurus haha yeah, oh well im just going to go and be emo now",1,Twitter
9532,It's too perfect outside to be at work,1,Twitter
9533,@HeatXCL I wanna get an FF tweet too,0,Twitter
9534,@dawl83 how you get a day off and you still aint hit me.. Where is the lOVE?,1,Twitter
9535,Misses the good old days!,-1,Twitter
9536,Just dusted &amp,0,Twitter
9537,bored out of my mind,-1,Twitter
9538,Man work is so busy today  2people called in sick and the old perverts keep rolling in  sadness abounds...,-1,Twitter
9539,@ladyvee SO DO I!!   My jet is in the repair shop...lol,1,Twitter
9540,@kattekrab No tango icons in this revision.,0,Twitter
9541,Fell off the wagon and had a Maccy's!!,1,Twitter
9542,@chaosofthemind aww  get it when your mom comes back 8D,0,Twitter
9543,last day at the Ko Olina.  off to north shoreee(:,1,Twitter
9544,@westerfield I picked up a taco over lunch... you got a guitar.,0,Twitter
9545,@lauriedriscoll did you finish twilight? i did! and i wish it wasnt over,1,Twitter
9546,"@KazooCarrieFan I know! I can't go either...it's sad  She needs to come back to MI asap, haha",-1,Twitter
9547,follow friday: following more people then followers  follow me? woot #followfriday,0,Twitter
9548,@vexdigital  I still love the fact that you can't scratch them!!! That is a winner for me!!!,1,Twitter
9549,Oooh the hangover,-1,Twitter
9550,Buried under more web changes. Going to make lunch now... I won't have a chance later. Too much to do.,-1,Twitter
9551,Dang  I left my Rolando's dinner leftovers at home! I knew I should have put them in the shop fridge last night before we left downtown!,1,Twitter
9552,@promotingyou  no FF tweet for me?,0,Twitter
9553,is alone  ! watch a lot of DVD on my laptop !!!,1,Twitter
9554,Long day at office again. Tiring week,0,Twitter
9555,@Lbaje i got talent too  u nvr hear me sing or dance them does call me Mini Breezy,1,Twitter
9556,"@megpriley I am sorry I never got back to you about going to Vegas this weekend, when you asked me forever ago.  Have fun and good luck!!!",1,Twitter
9557,@bhufford: I've got a fairly flat route available... the problem is I no longer have a fully functional bike to ride,-1,Twitter
9558,"damn, I paid like $16 my first Slightly Stoopid show and now they charge $47 a pop   makes me sad...",-1,Twitter
9559,@mrkris really?  dang.. I missed it   *sigh*,-1,Twitter
9560,At work as always,0,Twitter
9561,jus gt bak nw on msn stil not got a tan  o wel x,1,Twitter
9562,@Fluffy617 a steak burrito bowl right! I wish I wasn't too lazy to go downtown,-1,Twitter
9563,"Still no reply from @lorenb about my SimFinger problem  So no iRape parody video until I get a response, sorry guys",-1,Twitter
9564,got three grades so far: Math11 -&gt,0,Twitter
9565,needs somewhere to go...its still lush out + i want to be back out in it,0,Twitter
9566,"Thus far, Metaverse U has used the Second Life = Virtual Worlds, rather than the gamier Terra Nova usage. I'm in the TN camp  #metaverseu",0,Twitter
9567,@vmlemon i dont like #kde since ver. 4.0 its like vista  #fail,-1,Twitter
9568,"@lost_in_a_story Glad I'm not the only one. He's our baby, and I'm terrified he'll think we're never coming back.",-1,Twitter
9569,@qcmartinez That sucks  nobody wants to stay in and lounge? Or do something for free-99?,-1,Twitter
9570,OMG !! hollyoaks well dramatic  !!!!!!!!!!!!,1,Twitter
9571,going to miss springwatch tonight  going to have to make do with my own garden!,1,Twitter
9572,@dmann11 All those links on AICN are broken. Did they get slapped?,-1,Twitter
9573,1 of my most hated jobs. Clipping coupons &amp,-1,Twitter
9574,"Mayne, its getting hot out here in georgia..",0,Twitter
9575,@eraticschematic I'm pretty bored with it too,1,Twitter
9576,My tummy hurts,-1,Twitter
9577,has just received a phone call for new patients...i guess that means work for tomorrow!,1,Twitter
9578,Trying to win a @neverwear contest for a a print of The Day the Saucers Came signed by @neilhimself... My brain is tapped out of ideas,0,Twitter
9579,Tried to do an Audioboo recording but it' distorted due to the high volume  #OBS,-1,Twitter
9580,@tommcfly  and you only respond to ddlovato that is not your fan,0,Twitter
9581,thinking 53 more days is the only thing that gets me through work. ahhh i dont want to go,1,Twitter
9582,would really like to not be at work and instead taking a nap.,1,Twitter
9583,@misschellebeans i work til 10:15...,0,Twitter
9584,@AnnRan5 thats too bad,-1,Twitter
9585,@davechinnici still not 100%    im sick of being sick!,-1,Twitter
9586,@MrQuocHung Chang thay anh online gi ca,0,Twitter
9587,Already know I'm gonna miss josh next week.. My mom needs more surgery.. Work sucks.. Not a good day. Oh and my tum tum hurts,-1,Twitter
9588,@chicodebarge I guess you're responding to me about DC. If that's the case...,0,Twitter
9589,@wyatthaplo I can haz beer too? Oh wait... I'm a work...,0,Twitter
9590,Miss Cauzinhoooo already,-1,Twitter
9591,I hate this weather  i wanna bake,-1,Twitter
9592,i seriously need to live somewhere fabulously queer. i miss being around gay people,1,Twitter
9593,@shaaqT @primaveron to mast ladki patata hai chal jiske sath bhi jaye khush rehna...will miss u my love...  #twpp,1,Twitter
9594,tummy hurts,-1,Twitter
9595,is updating an old ipod...sad...i miss my orange nano,-1,Twitter
9596,i went to the doctor. i hav a virus.,0,Twitter
9597,Just got off phone with Black Swamp Bird Observatory - No reports of Connecticut Warbler from Metzger or Magee today...,0,Twitter
9598,@lululemon thanks.  Sadly the streamline top II is sold out. Streamline trunk II is available in my size but that only gets me halfway.,-1,Twitter
9599,@dleroux I still have my lights still up   you think he can do mine too?,0,Twitter
9600,@freckleface3 I am trying but I can't place it....sorry!!!,-1,Twitter
9601,@youulovemee she is good! so gor-juz yea i kno i asked her yesterday when we were at tha hospital if she talked to u and she said no,1,Twitter
9602,lost my DC hat ..,0,Twitter
9603,Just got an IM from another co-worker who just got laid off. Lots of people becoming unemployed,-1,Twitter
9604,"lazy day, staying off the foot as much as possible.",-1,Twitter
9605,@TrueVisionDubbz OMG! that wasn't funny.. LOOK at his face in the pic.. OMG! that made me sad! BAD JOB MIKE!! wtf?? .. poor K O B E,-1,Twitter
9606,has been told shes not allowed in the sun tomorow!  either that or wear sun cream!,1,Twitter
9607,My dad is trying to force me to learn to drive. I don't like doing things I'm not good at in public,-1,Twitter
9608,"Have I ever told you I absolutly hate writing emails, status pdates are fine but emails have so much...finality...to them",-1,Twitter
9609,I'm way to hungry to even think. I can't go to work on an empty stomach like this,-1,Twitter
9610,"@beforeyoufall i wish i could offer a hug right now, so bad",1,Twitter
9611,@DJMagic aww i'm sorry!! I was rushing around on my lunch break so I didn't even think of it!!,-1,Twitter
9612,"@BDEugenio yeah, when you start reaching your early-mid-20s",0,Twitter
9613,I'm sitting around wanting to do something  any ideas?,0,Twitter
9614,I lost count   sorry I let u down...,-1,Twitter
9615,"@EverRaven Wow, really? I didn't know it was that serious.  Well that sucks. Texas must have been chock full of asbestos.",1,Twitter
9616,Work around the house  boo,0,Twitter
9617,says SPACE AND TIME IS ALL WE NEED  http://plurk.com/p/x2dvj,0,Twitter
9618,...what ever happened w/ creating music in collaboration just for fun without the &quot,1,Twitter
9619,dad's posting got postponed ONE HOUR before he was meant to leave. either going to afganistan or NOWHERE. i'm sorta happy  but he's gutted,1,Twitter
9620,@brycecurtis  really?! Ur getting rid of it! That's sad,-1,Twitter
9621,@Jaicenia lmao i get that alot  haha,1,Twitter
9622,@Saniyyah &quot,0,Twitter
9623,@NPollard unless absolutely gorgeous I'd rather men stayed covered up! Have seen sights today to put you off your food.......  #ukpubs,1,Twitter
9624,"I'm pissed, someone took my wallet",-1,Twitter
9625,@cruirco i still dont know what we would do though,0,Twitter
9626,@elisaxx http://twitpic.com/66y00 - Niceee  Hey i never get stickersss,1,Twitter
9627,@melii That's true.  It still sucks though 'cause I was all &quot,-1,Twitter
9628,"Hey Dont Feel So Good,cuz i got in a car accedent yesterday.",1,Twitter
9629,I wish I could go to E3.  Oh well....,0,Twitter
9630,I really miss Sebastian,-1,Twitter
9631,Fell off the wagon and had a Maccy's!! : Fell off the wagon and had a Maccy's!!,1,Twitter
9632,"@_ophelia Oh, Hamletgasm! I hate having to work 12 hours today!How utterly crap, I miss everything! [managed forum for 5 min on break  ]",-1,Twitter
9633,Another Lake Park kid is going to Tulane. I'm not unique anymore,0,Twitter
9634,throat infection coming on strong I think  I can taste blood :S,-1,Twitter
9635,working allllllllll weekend..how thrilling..and i have to say bye to goshy on sunday cause she is leaving for poland for 3 months,1,Twitter
9636,@redassyellabone It's time to be all u can be like the reserves....I lost one.,1,Twitter
9637,Left &quot,0,Twitter
9638,There my laptop is dead  lucky I got my fone lol,-1,Twitter
9639,@mileycyrus i dont think you can vote anymore! i tried,1,Twitter
9640,Why oh why do I always forget to take the medication I'm *supposed* to take 30 minutes before breakfast? Just taking it now at 1:30,0,Twitter
9641,"@AaronWarner I know, but I'm on Rogers and I'm pretty sure they don't have the same agreement with Twitter.",1,Twitter
9642,why the hell is youtube not working???  NO NO  NO NO   NO  NO NO NNO NO,-1,Twitter
9643,"@jenna218 I'm there! So, no New York for me!",1,Twitter
9644,@sianhughes_ oh god i just watched it to!! did claire escape? AGAIN!!! it was really quite sad,-1,Twitter
9645,"I'm going through withdrawls,  missing someone!!!!",1,Twitter
9646,Andrew's flight back to CO should be landing soon,0,Twitter
9647,"just found out I won't be tweeting from ,my phone in Scotland, different networks    I was going to upload photos to twitpic, sorry",-1,Twitter
9648,"@xomorganjane aw, sad  I was looking forward to seeing you!",-1,Twitter
9649,"*uh* totally forgot the gentoo reinstallation  don't know what i should backup. the make.conf, my home and /boot. nothing else..?",0,Twitter
9650,back from taking jarid to the airport  but looking forward to meeting my new nephew in 5 days.,0,Twitter
9651,Eh they shut the freeway down! omw to a job interview so i guess i'm gonna be late,1,Twitter
9652,@axm9237 I'll have to wait for the YouTube links,0,Twitter
9653,@ajcoo82 oh no.  hope you feel better soon. Hugs. I had flu earlier this month.,1,Twitter
9654,Why are all the cool classes being offered this summer?  Boo.,1,Twitter
9655,@SocialVibe I have a FACEBOOK but I use MYSPACE and TWITTER the most. I hardly check my Facebook..,0,Twitter
9656,totally forgot she had soccer today. ugh  today was actually good too...,-1,Twitter
9657,gah! i just can't get the hang of twitter   i must be more stupid than i thought! :/,-1,Twitter
9658,i dont wanna do this anymore! but the couch is jus sittin in the middle of the floor. do i really HAVE to finish?,1,Twitter
9659,10 more minutes and i never have this class again. Its kinda sad cause this class is so fun,-1,Twitter
9660,@1045CHUMFM I give up Fav!  I try and try every time...and nothing ever happens...I'm not usually  a quitter...in this case I might be!,-1,Twitter
9661,twitter wont work on my mob....,0,Twitter
9662,"I want to see Terminator, but everyone's already seen it",0,Twitter
9663,listening to @joeymcintyrye's Without Your Love...hes so tortured in that song...makes me sad,-1,Twitter
9664,Ashley= getting sick... Ugh I'm losing my voice! Nooo,-1,Twitter
9665,Cell is dying.hafta plug it up every night now.,-1,Twitter
9666,"@tahitianmom that truely is sad news to hear  we are all created equal, so sad to know our neighbors are such prejudice people",-1,Twitter
9667,after 4 tries and 2 arms it was successful BUT now I look like a junkie,1,Twitter
9668,@CrypticIrnAngel thats a bummer i haven't got one yet :/ been waiting over a year  grrrrrrrrrrrrrrr,-1,Twitter
9669,Decided not to go...I want to see my sweetie  But I can't.,1,Twitter
9670,almost died. Laptop screen was set to 100% brightness after I reinstalled Windows Vista. Got a headache now  #insanedefaults,-1,Twitter
9671,Im so full. Subway was bomb! Waiting for my 2nd shift to start,-1,Twitter
9672,#quitsmokingdiary  5 Weeks tomorrow since giving up YAAAAAAYY!!!!               - I dont want to talk about it,1,Twitter
9673,@MandyyJirouxx but Today mtv does not allow us to vote,1,Twitter
9674,Wish I didn't have to work today.,0,Twitter
9675,Well dinner was disastrous my uncle lashed out at me for no reason he just told me to shut up ! ?? Confused since i wasn't even talking,-1,Twitter
9676,is looking for a job,0,Twitter
9677,Its rained ever day in Miami since I've been here.....,0,Twitter
9678,@marisianempire:   whatcha reading?,0,Twitter
9679,"@_missJP LMAO! ugh i know, i need to sleep the Qdoba off before i do all that workin out. and no, ur pic doesnt show",1,Twitter
9680,@lorib709 sorry you aren't feeling well!,-1,Twitter
9681,just got home from a long day at asda. joy,1,Twitter
9682,"Its raining on Staunton again, We need the rain, but that just means Ive got nothing sitting outside for people to see,",0,Twitter
9683,bout tuh head out an find sum wher tuh go an chill,0,Twitter
9684,i wish i were hanging out with kobe right now,0,Twitter
9685,"Math was not fun at all. Oh well, i get to cook as soon as i get home.",0,Twitter
9686,"Guess I'm gonna try the nap thing again 2day, but since my kids haven't cooperated with it yet this week I'm sure 2day won't be different",0,Twitter
9687,Poor baby's got his first booboo  that he caused himself LOL  http://twitpic.com/673vt,-1,Twitter
9688,pulled from interesting meeting to an urgent support request,1,Twitter
9689,i neeeeeeeed music suggestions but no one will give them,1,Twitter
9690,Knight Online Come Back,0,Twitter
9691,"@SallyTraffic ermm, me me me!!",1,Twitter
9692,Just lost respect to someone.,1,Twitter
9693,"@autonomy14 Ah, sorry to hear your trip was canceled",-1,Twitter
9694,Sims 3 wouldn't work on my old macbook  hope to get Sims 2 by tomorrow.,1,Twitter
9695,@nikkilynnsd aw i wish i could.  i have to get ready for atlanta and i have to come into work since I am behind on work,0,Twitter
9696,"MIT bookstore has best book selection, but it's the one bookstore I have no coupons or discounts for",1,Twitter
9697,I cant follow any1  on FollowFriday LOL u guys follow @SteveRaze @djpooh @losdigital @djsmartiez @djeightmile @maestro @rollingout @djlgee,1,Twitter
9698,about to start getting ready for work.  took lexi out to the park earlier! wish i could lay around ALL day.,1,Twitter
9699,Im downloading manually the oooiifull.mp4 movie by @leebrimelow as it seems the only way to see it fully,1,Twitter
9700,@WerewolfSeth YES!!,1,Twitter
9701,Prayers for my family and my dog - Mozart is being put down this afternoon.   Pics of him at http://tinyurl.com/mozartdog,0,Twitter
9702,@EuanGriffin Why?,0,Twitter
9703,@lyricals don't care about my struggles..,-1,Twitter
9704,Still can't sleep..missin' my dobby...,0,Twitter
